"","precursor_name","updated_precursor_name"
"416","PE(18:0_22:6)","PE(18:0_22:6)"
"417","PE(18:1_16:1)","PE(18:1_16:1)"
"418","PE(18:1_18:1)","PE(18:1_18:1)"
"419","PE(18:1_18:2)","PE(18:1_18:2)"
"420","PE(18:1_18:3)","PE(18:1_18:3)"
"421","PE(18:1_20:1)","PE(18:1_20:1)"
"422","PE(18:1_20:2)","PE(18:1_20:2)"
"423","PE(18:1_20:3)","PE(18:1_20:3)"
"424","PE(18:1_20:4)","PE(18:1_20:4)"
"425","PE(18:1_20:5)","PE(18:1_20:5)"
"426","PE(18:1_22:4)","PE(18:1_22:4)"
"427","PE(18:1_22:5)","PE(18:1_22:5)"
"428","PE(18:1_22:6)","PE(18:1_22:6)"
"429","PE(18:2_16:1)","PE(18:2_16:1)"
"430","PE(18:2_18:2)","PE(18:2_18:2)"
"431","PE(18:2_18:3)","PE(18:2_18:3)"
"432","PE(18:2_20:1)","PE(18:2_20:1)"
"433","PE(18:2_20:2)","PE(18:2_20:2)"
"434","PE(18:2_20:3)","PE(18:2_20:3)"
"435","PE(18:2_20:4)","PE(18:2_20:4)"
"436","PE(18:2_20:5)","PE(18:2_20:5)"
"437","PE(18:2_22:4)","PE(18:2_22:4)"
"438","PE(18:2_22:5)","PE(18:2_22:5)"
"439","PE(18:2_22:6)","PE(18:2_22:6)"
"440","PE(O-16:0_16:0)","PE(O-16:0_16:0)"
"441","PE(O-16:0_16:1)","PE(O-16:0_16:1)"
"442","PE(O-16:0_18:0)","PE(O-16:0_18:0)"
"443","PE(O-16:0_18:1)","PE(O-16:0_18:1)"
"444","PE(O-16:0_18:2)","PE(O-16:0_18:2)"
"445","PE(O-16:0_18:3)","PE(O-16:0_18:3)"
"446","PE(O-16:0_20:1)","PE(O-16:0_20:1)"
"447","PE(O-16:0_20:2)","PE(O-16:0_20:2)"
"448","PE(O-16:0_20:3)","PE(O-16:0_20:3)"
"449","PE(O-16:0_20:4)","PE(O-16:0_20:4)"
"450","PE(O-16:0_20:5)","PE(O-16:0_20:5)"
"451","PE(O-16:0_22:4)","PE(O-16:0_22:4)"
"452","PE(O-16:0_22:5)","PE(O-16:0_22:5)"
"453","PE(O-16:0_22:6)","PE(O-16:0_22:6)"
"454","PE(O-18:0_16:0)","PE(O-18:0_16:0)"
"455","PE(O-18:0_16:1)","PE(O-18:0_16:1)"
"456","PE(O-18:0_18:0)","PE(O-18:0_18:0)"
"457","PE(O-18:0_18:1)","PE(O-18:0_18:1)"
"458","PE(O-18:0_18:2)","PE(O-18:0_18:2)"
"459","PE(O-18:0_18:3)","PE(O-18:0_18:3)"
"460","PE(O-18:0_20:1)","PE(O-18:0_20:1)"
"461","PE(O-18:0_20:2)","PE(O-18:0_20:2)"
"462","PE(O-18:0_20:3)","PE(O-18:0_20:3)"
"463","PE(O-18:0_20:4)","PE(O-18:0_20:4)"
"464","PE(O-18:0_20:5)","PE(O-18:0_20:5)"
"465","PE(O-18:0_22:4)","PE(O-18:0_22:4)"
"466","PE(O-18:0_22:5)","PE(O-18:0_22:5)"
"467","PE(O-18:0_22:6)","PE(O-18:0_22:6)"
"468","PE(P-14:0_18:0)","PE(P-14:0_18:0)"
"469","PE(P-14:0_18:1)","PE(P-14:0_18:1)"
"470","PE(P-16:0_16:0)","PE(P-16:0_16:0)"
"471","PE(P-16:0_16:1)","PE(P-16:0_16:1)"
"472","PE(P-16:0_18:0)","PE(P-16:0_18:0)"
"473","PE(P-16:0_18:1)","PE(P-16:0_18:1)"
"474","PE(P-16:0_18:2)","PE(P-16:0_18:2)"
"475","PE(P-16:0_18:3)","PE(P-16:0_18:3)"
"476","PE(P-16:0_20:1)","PE(P-16:0_20:1)"
"477","PE(P-16:0_20:2)","PE(P-16:0_20:2)"
"478","PE(P-16:0_20:3)","PE(P-16:0_20:3)"
"479","PE(P-16:0_20:4)","PE(P-16:0_20:4)"
"480","PE(P-16:0_20:5)","PE(P-16:0_20:5)"
"481","PE(P-16:0_22:4)","PE(P-16:0_22:4)"
"482","PE(P-16:0_22:5)","PE(P-16:0_22:5)"
"483","PE(P-16:0_22:6)","PE(P-16:0_22:6)"
"484","PE(P-16:1_18:1)","PE(P-16:1_18:1)"
"485","PE(P-18:0_16:0)","PE(P-18:0_16:0)"
"486","PE(P-18:0_16:1)","PE(P-18:0_16:1)"
"487","PE(P-18:0_18:0)","PE(P-18:0_18:0)"
"488","PE(P-18:0_18:1)","PE(P-18:0_18:1)"
"489","PE(P-18:0_18:2)","PE(P-18:0_18:2)"
"490","PE(P-18:0_18:3)","PE(P-18:0_18:3)"
"491","PE(P-18:0_20:1)","PE(P-18:0_20:1)"
"492","PE(P-18:0_20:2)","PE(P-18:0_20:2)"
"493","PE(P-18:0_20:3)","PE(P-18:0_20:3)"
"494","PE(P-18:0_20:4)","PE(P-18:0_20:4)"
"495","PE(P-18:0_20:5)","PE(P-18:0_20:5)"
"496","PE(P-18:0_22:4)","PE(P-18:0_22:4)"
