"","precursor_name","updated_precursor_name"
"659","PI(18:1_22:4)","PI(18:1_22:4)"
"660","PI(18:1_22:5)","PI(18:1_22:5)"
"661","PI(18:1_22:6)","PI(18:1_22:6)"
"662","PI(18:2_16:1)","PI(18:2_16:1)"
"663","PI(18:2_18:2)","PI(18:2_18:2)"
"664","PI(18:2_18:3)","PI(18:2_18:3)"
"665","PI(18:2_20:1)","PI(18:2_20:1)"
"666","PI(18:2_20:2)","PI(18:2_20:2)"
"667","PI(18:2_20:3)","PI(18:2_20:3)"
"668","PI(18:2_20:4)","PI(18:2_20:4)"
"669","PI(18:2_20:5)","PI(18:2_20:5)"
"670","PI(18:2_22:4)","PI(18:2_22:4)"
"671","PI(18:2_22:5)","PI(18:2_22:5)"
"672","PI(18:2_22:6)","PI(18:2_22:6)"
"673","PI(20:0_16:1)","PI(20:0_16:1)"
"674","PI(20:0_18:1)","PI(20:0_18:1)"
"675","PI(20:0_18:2)","PI(20:0_18:2)"
"676","PI(20:0_18:3)","PI(20:0_18:3)"
"677","PI(20:0_20:1)","PI(20:0_20:1)"
"678","PI(20:0_20:2)","PI(20:0_20:2)"
"679","PI(20:0_20:3)","PI(20:0_20:3)"
"680","PI(20:0_20:4)","PI(20:0_20:4)"
"681","PI(20:0_20:5)","PI(20:0_20:5)"
"682","PI(20:0_22:5)","PI(20:0_22:5)"
"683","PI(20:0_22:6)","PI(20:0_22:6)"
"684","SIL_17:0-14:1 PI-d5","SIL_PI(17:0_14:1)_d5"
"685","SIL_17:0-16:1 PI-d5","SIL_PI(17:0_16:1)_d5"
"686","SIL_17:0-18:1 PI-d5","SIL_PI(17:0_18:1)_d5"
"687","SIL_17:0-20:3 PI-d5","SIL_PI(17:0_20:3)_d5"
"688","SIL_17:0-22:4 PI-d5","SIL_PI(17:0_22:4)_d5"
"689","PS(14:0_14:0)","PS(14:0_14:0)"
"690","PS(14:0_18:1)","PS(14:0_18:1)"
"691","PS(14:0_18:2)","PS(14:0_18:2)"
"692","PS(14:0_18:3)","PS(14:0_18:3)"
"693","PS(14:0_20:1)","PS(14:0_20:1)"
"694","PS(14:0_20:2)","PS(14:0_20:2)"
"695","PS(14:0_20:3)","PS(14:0_20:3)"
"696","PS(14:0_20:4)","PS(14:0_20:4)"
"697","PS(14:0_20:5)","PS(14:0_20:5)"
"698","PS(14:0_22:4)","PS(14:0_22:4)"
"699","PS(14:0_22:5)","PS(14:0_22:5)"
"700","PS(14:0_22:6)","PS(14:0_22:6)"
"701","PS(14:1_14:1)","PS(14:1_14:1)"
"702","PS(16:0_14:0)","PS(16:0_14:0)"
"703","PS(16:0_16:0)","PS(16:0_16:0)"
"704","PS(16:0_16:1)","PS(16:0_16:1)"
"705","PS(16:0_18:0)","PS(16:0_18:0)"
"706","PS(16:0_18:1)","PS(16:0_18:1)"
"707","PS(16:0_18:2)","PS(16:0_18:2)"
"708","PS(16:0_18:3)","PS(16:0_18:3)"
"709","PS(16:0_20:1)","PS(16:0_20:1)"
"710","PS(16:0_20:2)","PS(16:0_20:2)"
"711","PS(16:0_20:3)","PS(16:0_20:3)"
"712","PS(16:0_20:4)","PS(16:0_20:4)"
"713","PS(16:0_20:5)","PS(16:0_20:5)"
"714","PS(16:0_22:4)","PS(16:0_22:4)"
"715","PS(16:0_22:5)","PS(16:0_22:5)"
"716","PS(16:0_22:6)","PS(16:0_22:6)"
"717","PS(18:0_14:0)","PS(18:0_14:0)"
"718","PS(18:0_16:1)","PS(18:0_16:1)"
"719","PS(18:0_18:0)","PS(18:0_18:0)"
"720","PS(18:0_18:1)","PS(18:0_18:1)"
"721","PS(18:0_18:2)","PS(18:0_18:2)"
"722","PS(18:0_18:3)","PS(18:0_18:3)"
"723","PS(18:0_20:0)","PS(18:0_20:0)"
"724","PS(18:0_20:1)","PS(18:0_20:1)"
"725","PS(18:0_20:2)","PS(18:0_20:2)"
"726","PS(18:0_20:3)","PS(18:0_20:3)"
"727","PS(18:0_20:4)","PS(18:0_20:4)"
"728","PS(18:0_20:5)","PS(18:0_20:5)"
"729","PS(18:0_22:4)","PS(18:0_22:4)"
